"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"11","Sertraline","Zoloft","Nausea, insomnia, sexual dysfunction","Tablet","Depression, anxiety","MAOIs","SSRI antidepressant","Store below 25°C","50–200 mg daily","Serotonin syndrome","50mg, 100mg","Sertraline hydrochloride","MAOI use","Depression, OCD, panic disorder","Avoid alcohol, monitor mood","Taper off slowly"
"12","Rosuvastatin","Crestor","Myalgia, liver enzyme elevation","Tablet","Hyperlipidemia","Cyclosporine","Statin","Store below 30°C","5–40 mg daily","Rhabdomyolysis","5mg, 10mg, 20mg, 40mg","Rosuvastatin calcium","Liver disease","Hyperlipidemia","Gemfibrozil increases levels","Monitor liver enzymes"
"13","Dapagliflozin","Farxiga","UTI, dehydration","Tablet","Type 2 diabetes","Loop diuretics","SGLT2 inhibitor","Store below 30°C","10 mg daily","Hypotension, ketoacidosis","5mg, 10mg","Dapagliflozin propanediol","Severe renal impairment","Type 2 diabetes","Additive with insulin","Monitor hydration"
"14","Empagliflozin","Jardiance","UTI, hypotension","Tablet","Type 2 diabetes","Loop diuretics","SGLT2 inhibitor","Store below 30°C","10–25 mg daily","Hypotension","10mg, 25mg","Empagliflozin","Severe renal impairment","Type 2 diabetes","Increased risk with insulin","Hydrate well"
"15","Furosemide","Lasix","Dehydration, hypokalemia","Tablet","Edema, hypertension","Aminoglycosides","Loop diuretic","Store below 25°C","20–80 mg daily","Electrolyte imbalance","20mg, 40mg, 80mg","Furosemide","Anuria","Edema, hypertension","Additive with other diuretics","Monitor electrolytes"
"16","Bisoprolol","Concor","Bradycardia, fatigue","Tablet","Hypertension, heart failure","Verapamil","Beta-blocker","Store below 25°C","5–10 mg daily","Heart block","5mg, 10mg","Bisoprolol fumarate","Severe bradycardia","Hypertension, heart failure","Additive with digoxin","Taper off gradually"
"17","Hydrochlorothiazide","Microzide","Hypokalemia, dizziness","Tablet","Hypertension, edema","Lithium","Thiazide diuretic","Store below 25°C","12.5–50 mg daily","Electrolyte imbalance","12.5mg, 25mg, 50mg","Hydrochlorothiazide","Anuria","Hypertension, edema","NSAIDs reduce efficacy","Monitor electrolytes"
"18","Pantoprazole","Protonix","Headache, diarrhea","Tablet","GERD, ulcers","None","PPI","Store below 30°C","40 mg daily","Vitamin B12 deficiency","20mg, 40mg","Pantoprazole sodium","Hypersensitivity","GERD, peptic ulcer","May reduce absorption of pH-dependent drugs","Use short term"
"19","Cefixime","Suprax","Diarrhea, rash","Tablet/Suspension","Bacterial infections","Warfarin","Cephalosporin antibiotic","Store below 30°C","200 mg twice daily","Diarrhea","100mg, 200mg","Cefixime trihydrate","Cephalosporin allergy","UTI, respiratory infections","May enhance anticoagulant effect","Complete full course"
"20","Clindamycin","Cleocin","Diarrhea, rash","Capsule/Injection","Bacterial infections","Erythromycin","Lincosamide antibiotic","Store below 25°C","150–450 mg every 6 hours","Colitis","150mg, 300mg","Clindamycin hydrochloride","Colitis history","Respiratory, skin infections","Additive with neuromuscular blockers","Avoid prolonged use"
"21","Apixaban","Eliquis","Bleeding, anemia","Tablet","DVT, atrial fibrillation","Other anticoagulants","Anticoagulant (Factor Xa inhibitor)","Store below 30°C","5 mg twice daily","Severe bleeding","2.5mg, 5mg","Apixaban","Active bleeding","DVT prevention, AF stroke prevention","CYP3A4 inhibitors increase levels","Monitor bleeding signs"
"22","Tamsulosin","Flomax","Dizziness, ejaculation issues","Capsule","BPH","Strong CYP3A4 inhibitors","Alpha-1 blocker","Store below 25°C","0.4 mg daily","Hypotension","0.4mg","Tamsulosin hydrochloride","Severe hepatic impairment","BPH","Additive with antihypertensives","Take after meal"
"23","Nebivolol","Bystolic","Bradycardia, fatigue","Tablet","Hypertension","Verapamil","Beta-blocker","Store below 25°C","5–10 mg daily","Bradycardia","2.5mg, 5mg, 10mg","Nebivolol hydrochloride","Severe bradycardia","Hypertension","Additive with digoxin","Taper off gradually"
"24","Levocetirizine","Xyzal","Drowsiness, dry mouth","Tablet/Syrup","Allergic rhinitis","Alcohol","Antihistamine","Store below 30°C","5 mg daily","Somnolence","5mg","Levocetirizine dihydrochloride","Children <6 years","Allergic rhinitis","Additive with CNS depressants","Avoid alcohol"
"25","Deflazacort","Calcort","Weight gain, mood change","Tablet","Inflammation, autoimmune disorders","Live vaccines","Corticosteroid","Store below 30°C","6–48 mg daily","Cushingoid features","6mg, 30mg","Deflazacort","Systemic fungal infections","Inflammatory, allergic disorders","Additive with NSAIDs","Use lowest effective dose"
