"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"36","Drug_36","Brand_36","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"37","Drug_37","Brand_37","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"38","Drug_38","Brand_38","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"39","Drug_39","Brand_39","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"40","Drug_40","Brand_40","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"41","Drug_41","Brand_41","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"42","Drug_42","Brand_42","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"43","Drug_43","Brand_43","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"44","Drug_44","Brand_44","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"45","Drug_45","Brand_45","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"46","Drug_46","Brand_46","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"47","Drug_47","Brand_47","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"48","Drug_48","Brand_48","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"49","Drug_49","Brand_49","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"50","Drug_50","Brand_50","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
